px_est	py_est	v_est	yaw_ang_est	yaw_rate_est	sensor_type	NIS	px_meas	py_meas	px_gt	py_gt	vx_gt	vy_gt	yaw_ang_gt	yaw_rate_gt	NIS_laser	NIS_radar
20.23	13.5179	4.79824	1.7241	0.553866	radar	1.3166	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	1.71097	0.537498	0.994538	1.3166
20.209	13.7777	4.83351	1.74488	0.545447	lidar	1.36503	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	1.73784	0.53892	1.36503	1.3166
20.1536	14.0043	4.81096	1.78166	0.565649	radar	0.799967	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	1.76479	0.540258	1.36503	0.799967
20.0974	14.2609	4.8497	1.8111	0.566385	lidar	0.35683	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	1.7918	0.54151	0.35683	0.799967
20.0257	14.49	4.8469	1.84171	0.56586	radar	1.36196	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	1.81888	0.542677	0.35683	1.36196
19.9153	14.7471	4.90624	1.88619	0.583247	lidar	1.11173	19.781	14.773	19.934	14.6897	-1.30687	4.62805	1.84601	0.543759	1.11173	1.36196
19.8499	14.9646	4.88404	1.90005	0.549568	radar	3.43158	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	1.8732	0.544754	1.11173	3.43158
19.8225	15.1792	4.83111	1.90712	0.527574	lidar	2.24364	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	1.90044	0.545663	2.24364	3.43158
19.6894	15.3873	4.79433	1.98936	0.649849	radar	7.67342	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	1.92772	0.546486	2.24364	7.67342
19.6638	15.5701	4.69292	1.99551	0.621853	lidar	3.63298	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	1.95504	0.547223	3.63298	7.67342
19.5729	15.773	4.67448	2.0198	0.607702	radar	1.34766	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	1.98241	0.547873	3.63298	1.34766
19.4678	15.9878	4.68451	2.0498	0.607104	lidar	0.0295305	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	2.0098	0.548437	0.0295305	1.34766
19.3686	16.1951	4.68429	2.06209	0.564388	radar	1.87205	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	2.03722	0.548915	0.0295305	1.87205
19.26	16.3717	4.63596	2.0918	0.566888	lidar	0.584515	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	2.06467	0.549305	0.584515	1.87205
19.1439	16.5667	4.62712	2.12126	0.570476	radar	0.256782	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	2.09213	0.549609	0.584515	0.256782
19.0111	16.7804	4.6634	2.15043	0.570597	lidar	0.205328	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	2.11961	0.549826	0.205328	0.256782
18.8535	16.9722	4.67871	2.21418	0.651868	radar	6.46142	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	2.1471	0.549957	0.205328	6.46142
18.6738	17.2138	4.79784	2.25017	0.653543	lidar	1.95413	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	2.1746	0.55	1.95413	6.46142
18.5746	17.418	4.77195	2.22678	0.534718	radar	6.13907	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	2.2021	0.549957	1.95413	6.13907
18.3572	17.6144	4.85297	2.27468	0.556263	lidar	3.81688	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	2.2296	0.549826	3.81688	6.13907
18.2209	17.8068	4.84299	2.2747	0.494593	radar	2.18273	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	2.25709	0.549609	3.81688	2.18273
18.0916	17.9924	4.81694	2.28948	0.484292	lidar	0.906857	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	2.28457	0.549305	0.906857	2.18273
17.9157	18.1456	4.79582	2.33612	0.530231	radar	2.14684	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	2.31204	0.548915	0.906857	2.14684
17.7889	18.2848	4.70678	2.35683	0.525294	lidar	1.06397	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	2.33948	0.548437	1.06397	2.14684
17.6572	18.4645	4.68546	2.36313	0.49447	radar	6.56072	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	2.3669	0.547873	1.06397	6.56072
17.4597	18.6502	4.75006	2.3908	0.496723	lidar	0.531621	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	2.3943	0.547223	0.531621	6.56072
17.2796	18.7898	4.73002	2.42808	0.521578	radar	1.81712	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	2.42166	0.546486	0.531621	1.81712
17.1204	18.9252	4.68229	2.45236	0.520298	lidar	0.287978	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	2.44898	0.545663	0.287978	1.81712
16.9531	19.0956	4.69246	2.46386	0.497009	radar	2.99946	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	2.47627	0.544754	0.287978	2.99946
16.7351	19.2125	4.69954	2.50492	0.51457	lidar	2.74705	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	2.5035	0.543759	2.74705	2.99946
16.5439	19.3664	4.72304	2.52988	0.519788	radar	3.25912	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	2.53069	0.542677	2.74705	3.25912
16.3146	19.5316	4.80622	2.55544	0.517941	lidar	0.86016	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	2.55783	0.54151	0.86016	3.25912
16.0921	19.6135	4.78283	2.60908	0.563928	radar	10.1136	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	2.5849	0.540258	0.86016	10.1136
15.8853	19.7584	4.81176	2.62931	0.554752	lidar	0.756777	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	2.61191	0.53892	0.756777	10.1136
15.6983	19.8828	4.77304	2.63146	0.496849	radar	3.19132	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	2.63886	0.537498	0.756777	3.19132
15.4639	20.0392	4.85323	2.6484	0.486668	lidar	1.27566	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	2.66574	0.53599	1.27566	3.19132
15.2494	20.1834	4.88329	2.65893	0.464696	radar	5.58595	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	2.69253	0.534397	1.27566	5.58595
15.0636	20.3136	4.85751	2.66987	0.451892	lidar	1.84254	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	2.71925	0.532721	1.84254	5.58595
14.8323	20.3959	4.857	2.70941	0.481052	radar	2.20727	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	2.74589	0.53096	1.84254	2.20727
14.6172	20.5149	4.8666	2.72585	0.472697	lidar	0.597643	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	2.77244	0.529115	0.597643	2.20727
14.3784	20.6028	4.89139	2.76393	0.50463	radar	1.28556	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	2.79889	0.527187	0.597643	1.28556
14.1322	20.6762	4.90609	2.79668	0.512517	lidar	0.71296	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	2.82525	0.525176	0.71296	1.28556
13.8937	20.7483	4.91828	2.83309	0.536864	radar	0.33853	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	2.85151	0.523081	0.71296	0.33853
13.6176	20.8123	4.97556	2.86829	0.54485	lidar	1.62307	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294	2.87767	0.520904	1.62307	0.33853
13.3682	20.8435	4.98625	2.92359	0.603463	radar	2.21931	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	2.90371	0.518645	1.62307	2.21931
13.1239	20.8819	4.97796	2.95797	0.608211	lidar	0.16305	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	2.92964	0.516304	0.16305	2.21931
12.892	20.9414	4.96393	2.97793	0.592079	radar	1.83043	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694	2.95546	0.513881	0.16305	1.83043
12.6982	20.9806	4.88239	3.00219	0.588514	lidar	2.03812	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469	2.98115	0.511377	2.03812	1.83043
12.444	21.0227	4.91139	3.02912	0.586621	radar	2.53697	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175	3.00672	0.508793	2.03812	2.53697
12.1975	21.059	4.92199	3.05404	0.581444	lidar	0.145793	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912	3.03216	0.506127	0.145793	2.53697
11.9594	21.0788	4.91685	3.08496	0.588969	radar	0.931058	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778	3.05747	0.503383	0.145793	0.931058
11.7196	21.0469	4.88722	3.13032	0.607474	lidar	1.86577	11.6814	20.8651	11.785	21.117	-4.86022	0.286869	3.08264	0.500558	1.86577	0.931058
11.4733	21.0334	4.88408	3.16515	0.611674	radar	1.06043	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281	3.10767	0.497655	1.86577	1.06043
11.261	21.0246	4.83157	3.19526	0.612776	lidar	0.693264	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057	3.13255	0.494673	0.693264	1.06043
11.0072	20.986	4.84537	3.23428	0.621298	radar	4.10347	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565	3.15728	0.491613	0.693264	4.10347
10.8008	20.9458	4.78374	3.27167	0.63043	lidar	0.519885	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643	3.18186	0.488475	0.519885	4.10347
10.5535	20.9456	4.76275	3.2732	0.56769	radar	5.70629	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604	3.20629	0.48526	0.519885	5.70629
10.2652	20.9775	4.86435	3.27222	0.53084	lidar	3.50087	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674	3.23055	0.481969	3.50087	5.70629
10.0266	20.959	4.85971	3.29079	0.519213	radar	1.01603	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463	3.25465	0.478601	3.50087	1.01603
9.8389	20.9182	4.77219	3.32097	0.526546	lidar	1.6277	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327	3.27858	0.475158	1.6277	1.01603
9.60646	20.9095	4.72802	3.31706	0.465669	radar	2.12137	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189	3.30234	0.47164	1.6277	2.12137
9.41805	20.8573	4.65413	3.34752	0.47576	lidar	0.896324	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977	3.32592	0.468047	0.896324	2.12137
9.20015	20.8138	4.64529	3.37159	0.480129	radar	1.46152	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362	3.34932	0.46438	0.896324	1.46152
8.897	20.7876	4.77567	3.37569	0.454359	lidar	2.43515	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605	3.37254	0.46064	2.43515	1.46152
8.68577	20.7063	4.75114	3.41329	0.47718	radar	4.45231	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372	3.39557	0.456828	2.43515	4.45231
8.40281	20.6253	4.84458	3.43651	0.474324	lidar	2.86285	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701	3.41841	0.452943	2.86285	4.45231
